,title,label
3745,"since the registration of the shares subscribed in a directed share issue , the new number of panostaja shares and voting rights is 41,733,110 .",2
1995,"excluding nonrecurring items , pretax profit surged 45 to eur80m .",1
2468,grounds for the notification tiimari plc 12 30 2010 issued capital convertible loan allocation decision by the board on 01 31 2011 .,2
1156,"according to seikku , the retail sector in finland is controlled by 34 large actors , while food manufacturers are still relatively small .",2
2860,"cramo plc is a service company specialising in construction machinery and equipment rental and rentalrelated services , as well as rental and sale of modular space .",2
3902,"the segments through which the company operates are frozen food business , seafoods , vegetable oil business , grain trading and other business operations .",2
258,"operating profit was eur 139.7 mn , up 23 from eur 113.8 mn .",1
2661,"the order includes a new crecent former , headbox , and reel .",2
1294,"nordea bank sto nda and sampo bank have helped finnish real estate investment company sponda hel sda1v place a eur100m usd125 .4 m domestic bond , the company said friday .",1
2287,"adp news nov 6 , 2008 finnish retail software developer aldata solution oyj omx ald1v said today that it swung to a net profit of eur 2.1 million usd 2.7 m for the first nine months of 2008 versus a net loss of eu",1
4494,the board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found nonresponsive by the evaluation team .,2
918,validating our fgvoip client through symbian signed represents a significant step forward in accomplishing this goal .,1
2443,electronic versions require 2448 hours as each copy is customized to the client with digital controls and custom watermarks .,2
3742,"salo , finland , 29 august 2006 benefon has today announced its plans to further strengthen its inhouse technology platform , by licensing the complete mobile software platform , opna , from its longstanding technology partner , pollex .",1
1128,"installation of the automatic varnishing line is an important part of the company strategy in the region of central and eastern europe , said jozef misurec , the director of ruukki slovakia .",1
3873,the ongoing project where tekla structures is being used is the vashi exhibition centre being developed by insteel engineers pvt ltdiivrcl infrastructures projects ltd cidco .,2
3239,the energy shot is packed in a 100millilitre bag with a screw cap .,2
4231,"russian officials inspected the damage and gave the vessel permission to continue to tallinn at around 4.30 a.m. the norwegianregistered mt sten nordic was carrying 11,000 tons of gas oil and was manned by a filipino crew .",2
4531,finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,0
4775,"the apartment block will be welllocated , in easy reach of the city center and close to both a school and kindergarten .",1
702,"turnover surged to eur61 .8 m from eur47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",1
4,"according to the company updated strategy for the years 20092012 , basware targets a longterm net sales growth in the range of 20 40 with an operating profit margin of 10 20 of net sales .",1
3672,margin call of zanadvorov has given the chance to make such purchase under the credit of deutsche bank for usd 560 million .,2
2149,metso will supply the equipment for two process lines at northland resources new kaunisvaara iron ore project in sweden which exploits tapuli and sahavaara iron ore deposits .,1
4456,"these financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .",1
4640,"in q1 of 2009 , bank of land net interest income weakened by 10 to eur 9.1 mn .",0
1178,"as a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in finland will be formed in sievi .",2
578,"helsinki on october 22 , 2008 ssh communications security corp board of directors for further information , please contact tomi laamanen , chairman , tel. 358 0 400 609 544 distribution nasdaq omx helsinki ltd. .",2
4678,"finnish management software solutions provider ixonos oyj net profit decreased to 369,000 euro 575,000 for the first quarter of 2008 from 669,000 euro 1.0 mln for the same period of 2007 .",0
2047,"the group , with net sales of eur 235 million in 2009 , employs more than 2 000 people in 33 countries .",2
120,"operating profit was eur 24.5 mn , up from eur 23.0 mn .",1
1283,lsc 30 employees will move to ixonos with their existing status and benefits .,2
527,"the subscriptions increase cargotec share capital by eur 27,060 .",1
2382,"according to ceo hannu syrj nen , a new common name and visual identity is required as the group has grown and internationalised .",2
4653,"finnish geosentric net sales decreased to eur 939,000 in januarymarch 2009 .",0
3231,"the decision of the french court relates to the claims raised by twentyone former aspocomp s.a.s employees , the company said .",2
41,"net income from life insurance rose to eur 16.5 mn from eur 14.0 mn , and net income from nonlife insurance to eur 22.6 mn from eur 15.2 mn in 2009 .",1
2741,"abn amro capital has agreed to sell its helsinkibased designer homeware producer , iittala oyj , to crosstown consumer products group fiskars corp. , for eur230 million to eur235 million 310 million to 316 million .",2
1659,"the total donation amount is eur 1,115,000 .",2
3051,no financial details were revealed .,2
2498,kemira partner in the project is st. petersburg water works .,2
1495,estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,2
